run_id,arch,activation,weight_decay,n_params,epochs_done,final_loss,final_lr,mean_err_2,mean_err_X,max_err_2,max_err_X,training_time_s,diverged
1,5x60,tanh,0.0,24702,80000,0.020996499806642532,0.001,0.1906323879957199,0.2741590142250061,0.2468765676021576,0.5013434290885925,317.5542562007904,False
2,5x60,tanh,1e-05,24702,80000,0.021311677992343903,0.001,0.1856137216091156,0.26580291986465454,0.2758723795413971,0.38727444410324097,330.37389731407166,False
3,5x60,tanh,0.0001,24702,80000,0.034763455390930176,0.001,0.17132273316383362,0.2319645881652832,0.22699350118637085,0.34307220578193665,306.4533758163452,False
4,5x60,gelu,0.0,24702,80000,0.02429293282330036,0.001,0.20036537945270538,0.25799524784088135,0.24238041043281555,0.40736597776412964,354.6126477718353,False
5,5x60,gelu,1e-05,24702,80000,0.025912608951330185,0.001,0.18484878540039062,0.22513389587402344,0.30389684438705444,0.357904314994812,478.853657245636,False
6,5x60,gelu,0.0001,24702,80000,0.03778542950749397,0.001,0.22096356749534607,0.3145057260990143,0.4075058102607727,0.4878438115119934,531.7174003124237,False
7,5x80,tanh,0.0,39282,80000,0.0010117050260305405,0.001,0.030886266380548477,0.059752386063337326,0.049314357340335846,0.10889574140310287,345.2596137523651,False
8,5x80,tanh,1e-05,39282,80000,0.0016589672304689884,0.0005,0.050289928913116455,0.09524618089199066,0.08439911156892776,0.14812974631786346,353.2195739746094,False
9,5x80,tanh,0.0001,39282,80000,0.01055153924971819,0.0005,0.0838627815246582,0.14564599096775055,0.17702895402908325,0.26123616099357605,357.6572816371918,False
10,5x80,gelu,0.0,39282,80000,0.002453259890899062,0.001,0.05510754510760307,0.08220797777175903,0.09483698755502701,0.18033289909362793,410.6633484363556,False
11,5x80,gelu,1e-05,39282,80000,0.00366713828407228,0.001,0.05772926285862923,0.11645309627056122,0.12289698421955109,0.16121657192707062,541.8135256767273,False
12,5x80,gelu,0.0001,39282,80000,0.0095242103561759,0.001,0.0791822075843811,0.16760943830013275,0.14202159643173218,0.27444982528686523,726.6831877231598,False
13,6x100,tanh,0.0,67162,80000,0.0008426730055361986,0.0005,0.01959926262497902,0.04722908139228821,0.034131500869989395,0.07404949516057968,486.6616895198822,False
14,6x100,tanh,1e-05,67162,80000,0.0005658893496729434,0.00025,0.030580688267946243,0.0531453900039196,0.057437874376773834,0.09099695086479187,541.252188205719,False
15,6x100,tanh,0.0001,67162,80000,0.00495164655148983,0.00025,0.05601649731397629,0.10534761846065521,0.1257428526878357,0.13997532427310944,513.2182357311249,False
16,6x100,gelu,0.0,67162,80000,0.0001792231050785631,0.001,0.023433132097125053,0.03487199544906616,0.04358774051070213,0.04382636398077011,572.926643371582,False
17,6x100,gelu,1e-05,67162,80000,0.00038504446274600923,0.001,0.0433877632021904,0.05375603958964348,0.09056936949491501,0.10027487576007843,545.9723212718964,False
18,6x100,gelu,0.0001,67162,80000,0.6481432318687439,1e-06,1.0499448776245117,1.2259255647659302,1.5997976064682007,2.0400233268737793,4410.947325468063,False
19,7x60,tanh,0.0,32022,80000,0.02084648795425892,0.001,0.16701623797416687,0.2148546278476715,0.2124965488910675,0.3531365692615509,382.151572227478,False
20,7x60,tanh,1e-05,32022,80000,0.021402111276984215,0.0005,0.1669003665447235,0.2468477040529251,0.21332859992980957,0.3775547444820404,387.74272418022156,False
21,7x60,tanh,0.0001,32022,80000,0.028972502797842026,0.0005,0.17606669664382935,0.3111259639263153,0.2036677747964859,0.5842122435569763,391.620703458786,False
22,7x60,gelu,0.0,32022,80000,0.07516378164291382,1e-06,0.28233206272125244,0.40234071016311646,0.41754910349845886,0.7558198571205139,456.3835880756378,False
23,7x60,gelu,1e-05,32022,80000,0.6481432318687439,1e-06,1.0499448776245117,1.2259254455566406,1.5997976064682007,2.0400230884552,2740.005758523941,False
24,7x60,gelu,0.0001,32022,80000,0.6481432318687439,1e-06,1.0499448776245117,1.2259255647659302,1.5997976064682007,2.0400230884552,2859.1726903915405,False
